AC 19232
AL 42908
AM 77068
AP 15939
BA 172090
CE 193196
DF 102259
ES 44365
GO 147045
MA 54997
MG 507318
MS 91561
MT 76861
PA 102439
PB 70640
PE 171583
PI 39505
PR 362842
RJ 376754
RN 41749
RO 34260
RR 10522
RS 245900
SC 179222
SE 47221
SP 1268083
TO 28541
